0.01,0,0.0063769
0.01,0.050251,3.2885
0.01,0.1005,6.6139
0.01,0.15075,6.9696
0.01,0.20101,6.9696
0.01,0.25126,6.9696
0.01,0.30151,6.9696
0.01,0.35176,6.9696
0.01,0.40201,6.9696
0.01,0.45226,6.9696
0.01,0.50251,6.9696
0.01,0.55276,6.9696
0.01,0.60302,6.9696
0.01,0.65327,6.9696
0.01,0.70352,6.9696
0.01,0.75377,6.9696
0.01,0.80402,6.9696
0.01,0.85427,6.9696
0.01,0.90452,6.9696
0.01,0.95477,6.9696
0.01,1.005,6.9696
0.01,1.0553,6.9696
0.01,1.1055,6.9696
0.01,1.1558,6.9696
0.01,1.206,6.9696
0.01,1.2563,6.9696
0.01,1.3065,6.9696
0.01,1.3568,6.9696
0.01,1.407,6.9696
0.01,1.4573,6.9696
0.01,1.5075,6.9696
0.01,1.5578,6.9696
0.01,1.608,6.9696
0.01,1.6583,6.9696
0.01,1.7085,6.9696
0.01,1.7588,6.9696
0.01,1.809,6.9696
0.01,1.8593,6.9696
0.01,1.9095,6.9696
0.01,1.9598,6.9696
0.01,2.0101,6.9696
0.01,2.0603,6.9696
0.01,2.1106,6.9696
0.01,2.1608,6.9696
0.01,2.2111,6.9696
0.01,2.2613,6.9696
0.01,2.3116,6.9696
0.01,2.3618,6.9696
0.01,2.4121,6.9696
0.01,2.4623,6.9696
0.01,2.5126,6.9696
0.01,2.5628,6.9696
0.01,2.6131,6.9696
0.01,2.6633,6.9696
0.01,2.7136,6.9696
0.01,2.7638,6.9696
0.01,2.8141,6.9696
0.01,2.8643,6.9696
0.01,2.9146,6.9696
0.01,2.9648,6.9696
0.01,3.0151,6.9696
0.01,3.0653,6.9696
0.01,3.1156,6.9696
0.01,3.1658,6.9696
0.01,3.2161,6.9696
0.01,3.2663,6.9696
0.01,3.3166,6.9696
0.01,3.3668,6.9696
0.01,3.4171,6.9696
0.01,3.4673,6.9696
0.01,3.5176,6.9696
0.01,3.5678,6.9696
0.01,3.6181,6.9696
0.01,3.6683,6.9696
0.01,3.7186,6.9696
0.01,3.7688,6.9696
0.01,3.8191,6.9696
0.01,3.8693,6.9696
0.01,3.9196,6.9696
0.01,3.9698,6.9696
0.01,4.0201,6.9696
0.01,4.0704,6.9696
0.01,4.1206,6.9696
0.01,4.1709,6.9696
0.01,4.2211,6.9696
0.01,4.2714,6.9696
0.01,4.3216,6.9696
0.01,4.3719,6.9696
0.01,4.4221,6.9696
