163,0.66686,1.9725,6.7235
164,0.68373,1.9824,6.715
165,0.70093,1.9923,6.7066
166,0.71848,2.0022,6.6982
167,0.73638,2.0121,6.6898
168,0.75462,2.022,6.6815
169,0.77322,2.0318,6.6732
170,0.79219,2.0417,6.665
171,0.81152,2.0515,6.6567
172,0.83122,2.0613,6.6485
173,0.8513,2.0711,6.6404
174,0.87176,2.0809,6.6322
175,0.8926,2.0906,6.6241
176,0.91384,2.1004,6.6161
177,0.93547,2.1101,6.608
178,0.95751,2.1198,6.6
179,0.97995,2.1296,6.592
180,1.0028,2.1392,6.584
181,1.0261,2.1489,6.5761
182,1.0498,2.1586,6.5682
183,1.0739,2.1683,6.5603
184,1.0985,2.1779,6.5525
185,1.1235,2.1875,6.5447
186,1.1489,2.1971,6.5369
187,1.1748,2.2067,6.5291
188,1.2011,2.2163,6.5213
189,1.228,2.2259,6.5136
190,1.2552,2.2355,6.5059
191,1.283,2.245,6.4982
192,1.3112,2.2546,6.4906
193,1.3399,2.2641,6.483
194,1.3691,2.2736,6.4754
195,1.3988,2.2832,6.4678
196,1.429,2.2926,6.4602
197,1.4597,2.3021,6.4527
198,1.4909,2.3116,6.4451
199,1.5227,2.3211,6.4376
200,1.5549,2.3305,6.4302
201,1.5877,2.34,6.4227
202,1.621,2.3494,6.4152
203,1.6549,2.3588,6.4078
204,1.6893,2.3683,6.4004
205,1.7243,2.3777,6.393
206,1.7598,2.3871,6.3856
207,1.7959,2.3964,6.3783
208,1.8326,2.4058,6.371
209,1.8698,2.4152,6.3636
210,1.9077,2.4245,6.3563
211,1.9461,2.4339,6.349
212,1.9851,2.4432,6.3417
213,2.0247,2.4526,6.3345
214,2.065,2.4619,6.3272
215,2.1058,2.4712,6.32
216,2.1473,2.4805,6.3128
217,2.1894,2.4898,6.3056
218,2.2322,2.4991,6.2984
219,2.2756,2.5084,6.2912
220,2.3196,2.5177,6.284
221,2.3643,2.5269,6.2768
222,2.4096,2.5362,6.2697
223,2.4556,2.5455,6.2625
224,2.5023,2.5547,6.2554
225,2.5497,2.564,6.2483
226,2.5978,2.5732,6.2412
227,2.6466,2.5824,6.2341
228,2.696,2.5917,6.227
229,2.7462,2.6009,6.2199
230,2.7971,2.6101,6.2128
231,2.8487,2.6193,6.2057
232,2.901,2.6285,6.1987
233,2.9541,2.6377,6.1916
234,3.008,2.6469,6.1845
235,3.0625,2.6561,6.1775
236,3.1179,2.6653,6.1704
237,3.174,2.6745,6.1634
238,3.2308,2.6836,6.1564
239,3.2885,2.6928,6.1493
240,3.3469,2.702,6.1423
241,3.4062,2.7111,6.1353
242,3.4662,2.7203,6.1282
243,3.527,2.7295,6.1212
244,3.5887,2.7386,6.1142
245,3.6512,2.7478,6.1072
246,3.7145,2.7569,6.1002
247,3.7786,2.7661,6.0931
248,3.8436,2.7752,6.0861
249,3.9095,2.7844,6.0791
250,3.9762,2.7935,6.0721
251,4.0438,2.8027,6.065
252,4.1122,2.8118,6.058
253,4.1815,2.821,6.051
254,4.2518,2.8301,6.0439
255,4.3229,2.8392,6.0369
256,4.3949,2.8484,6.0298
257,4.4679,2.8575,6.0228
258,4.5417,2.8667,6.0157
259,4.6165,2.8758,6.0087
260,4.6923,2.8849,6.0016
261,4.7689,2.8941,5.9945
262,4.8466,2.9032,5.9874
263,4.9252,2.9124,5.9804
264,5.0047,2.9215,5.9732
265,5.0853,2.9307,5.9661
266,5.1668,2.9398,5.959
267,5.2494,2.949,5.9519
268,5.3329,2.9582,5.9447
269,5.4174,2.9673,5.9376
270,5.503,2.9765,5.9304
271,5.5896,2.9857,5.9232
272,5.6772,2.9948,5.916
273,5.7659,3.004,5.9088
274,5.8556,3.0132,5.9016
275,5.9464,3.0224,5.8944
276,6.0383,3.0316,5.8871
277,6.1312,3.0408,5.8798
278,6.2252,3.05,5.8725
279,6.3203,3.0592,5.8652
280,6.4166,3.0685,5.8579
281,6.5139,3.0777,5.8506
282,6.6124,3.0869,5.8432
283,6.712,3.0962,5.8358
284,6.8128,3.1054,5.8284
285,6.9147,3.1147,5.8209
286,7.0177,3.124,5.8135
287,7.122,3.1333,5.806
288,7.2274,3.1426,5.7985
289,7.334,3.1519,5.7909
290,7.4418,3.1612,5.7834
291,7.5508,3.1705,5.7758
292,7.661,3.1799,5.7681
293,7.7725,3.1892,5.7605
294,7.8852,3.1986,5.7528
295,7.9991,3.208,5.7451
296,8.1143,3.2174,5.7373
297,8.2308,3.2268,5.7295
298,8.3485,3.2362,5.7217
299,8.4676,3.2457,5.7138
300,8.5879,3.2552,5.7059
301,8.7095,3.2647,5.6979
302,8.8325,3.2742,5.6899
303,8.9568,3.2837,5.6819
304,9.0824,3.2932,5.6738
305,9.2094,3.3028,5.6657
306,9.3378,3.3124,5.6575
307,9.4675,3.322,5.6493
308,9.5986,3.3316,5.6411
309,9.7311,3.3413,5.6327
310,9.8651,3.351,5.6244
311,10,3.3607,5.6159
312,10.137,3.3704,5.6074
313,10.275,3.3802,5.5989
314,10.415,3.39,5.5903
315,10.556,3.3998,5.5816
316,10.699,3.4097,5.5729
317,10.843,3.4195,5.5641
318,10.989,3.4295,5.5552
319,11.136,3.4394,5.5462
320,11.284,3.4494,5.5372
321,11.434,3.4595,5.5281
322,11.586,3.4695,5.5189
323,11.74,3.4797,5.5096
324,11.895,3.4898,5.5003
325,12.051,3.5,5.4908
326,12.209,3.5103,5.4813
327,12.369,3.5206,5.4717
328,12.53,3.5309,5.4619
329,12.693,3.5413,5.4521
330,12.858,3.5518,5.4422
331,13.024,3.5623,5.4321
332,13.193,3.5729,5.4219
333,13.362,3.5835,5.4116
334,13.534,3.5943,5.4012
335,13.707,3.605,5.3906
336,13.882,3.6159,5.3799
337,14.059,3.6268,5.3691
338,14.238,3.6378,5.3581
339,14.418,3.6489,5.3469
340,14.601,3.6601,5.3356
341,14.785,3.6714,5.3241
